Id,Source,Sink,Label,Jacard_similarity,Reciprocated,Same_Follows,Same_Followers,Following_followers,Followers_following
13440,4807802,3474108,False,0.0,0,0,0,0,0
14521,4820741,3360411,False,0.0003723562704795949,0,5,4,2,1
15258,3893485,615470,False,0.0058823529411764705,0,0,0,1,0
5765,1160476,4423106,True,0.011904761904761904,0,0,1,3,0
9103,2098153,1690853,True,0.0,0,0,15,15,0
14076,3815074,3874553,False,0.005847953216374269,0,0,1,0,1
16123,1567839,2608376,False,0.0,0,0,0,0,0
13450,3196935,3854895,False,0.0,0,0,0,0,0
11381,3149706,1228736,False,0.0,0,0,0,0,0
13374,2743366,347279,False,0.0007892659826361484,0,0,0,1,0
13991,672430,4620925,False,0.0,0,0,0,0,0
19975,4743928,214930,False,0.0,0,0,0,0,0
17265,3392535,4691094,False,0.00390625,0,0,2,1,0
7805,3289423,2370059,True,0.0,0,0,0,0,0
3462,2564914,4073715,True,0.0,0,0,0,0,0
6317,17465,3056374,True,0.005610098176718092,0,0,4,3,0
7111,2443694,1108892,True,0.04918032786885246,0,0,6,4,0
14707,1213060,1691903,False,0.0007117437722419929,0,1,0,0,1
18831,2153575,3489900,False,0.0,0,0,0,0,0
8903,2681055,2984603,True,0.0008031369584730949,1,79,21,36,23
2547,766629,1864726,True,0.013513513513513514,0,0,1,1,0
19352,2461854,737641,False,0.0,0,0,0,0,0
12162,3609289,3419438,False,0.0,0,0,0,0,0
5188,2136096,1654137,True,0.02100840336134454,0,0,8,9,0
16004,3384077,3407608,False,0.0,0,0,0,0,0
1809,2054629,4039975,True,0.017241379310344827,0,0,0,1,0
19334,524339,1615953,False,0.0,0,0,0,0,0
13332,2834655,4110561,False,0.013394725826705735,0,0,27,29,0
7653,2028315,3086178,True,0.11818181818181818,0,12,22,27,4
3292,3544668,237587,True,0.0003891050583657588,0,0,1,1,0
11965,3458145,2808150,False,0.0,0,0,0,0,0
18965,208451,1182959,False,0.0,0,0,0,0,0
15135,740344,161661,False,0.0,0,0,0,0,0
8837,2764263,556552,True,0.010638297872340425,0,0,1,1,0
15462,1469023,901104,False,0.0,0,0,0,0,0
16414,1048559,1839863,False,0.0,0,0,0,0,0
13137,3149776,784910,False,0.0,0,0,0,1,0
14543,4496830,912216,False,0.0,0,0,0,0,0
14792,3032482,1555812,False,0.0,0,0,0,0,0
5279,2434497,1939968,True,0.03526734926052332,0,31,20,22,18
2419,4547489,4092432,True,0.015615615615615615,1,25,14,17,14
